Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,904.7691857,979.3171801,987.7303741,1002.384406,1026.081445,984.059145,1006.46506,1043.941623,1086.59818,1104.439825,1179.650267,1265.624726
Afghanistan,46.57987976,52.36304855,52.61354065,56.30554199,60.18957901,60.05854034,61.48645782,66.90921783,71.33430481,74.23410797,80.28805542,81.31976318
Africa Eastern and Southern,105.426618,113.6897139,110.5010137,108.3351447,101.8234393,93.7748478,88.74456591,92.93286295,92.96425087,89.94454603,81.49241798,92.28638645
Africa Western and Central,60.18746741,67.17484644,69.60961819,77.14225,80.02705502,71.6926286,62.50616285,60.64952524,59.44377379,61.86688351,64.64604399,72.95963883
Albania,255.3181915,274.776886,262.2885437,278.042511,295.1235962,255.3563538,277.0432129,297.4619751,351.3012085,367.7583923,396.880249,464.7428589
Algeria,230.0639191,288.313324,336.6726685,333.1602783,361.1594238,292.275177,261.400238,265.8384399,266.4646912,235.9904175,206.0351257,204.5666199
American Samoa,,,,,,,,,,,,
Andorra,3698.80835,3913.987061,3013.514648,3041.841553,3089.843018,2688.206299,2755.448486,2873.296143,3164.388428,3026.597412,3269.297363,3505.991455
Angola,96.66415405,121.9136887,121.7957535,142.8861694,130.7423401,107.6435623,94.1061554,112.851471,83.89920044,64.65779114,55.05102158,64.16342163
Antigua and Barbuda,720.9244385,713.9985352,749.9437866,735.4927979,822.3922119,784.6453857,812.5109253,785.4710083,849.8334961,801.5438232,875.7009888,923.4072876
Arab World,236.9910964,269.758126,293.361815,328.0384715,355.1657858,337.7537561,360.4705014,352.2453843,367.9762092,374.9589582,380.6515688,401.8634012
Argentina,980.1362915,1202.563965,1361.991577,1415.210083,1280.614868,1525.053101,1258.307983,1494.83606,1216.106812,1016.230835,895.0846558,1044.772705
Armenia,290,325,333,396,409,371,366,419,439,549,552,613
Aruba,,,,,,,,,,,,
Australia,4975.470703,5909.149902,6071.650879,5843.173828,6130.998535,5322.971191,5453.924805,5813.61377,5857.288086,5545.910645,5958.765625,7055.368164
Austria,4801,5168,4966,5235,5394,4613,4710,4939,5337,5263,5567,6505
Azerbaijan,152,183,232,249,277,234,168,165,178,197,243,249
"Bahamas, The",1421.590576,1418.508545,1492.449097,1532.229614,1590.949951,1558.798828,1698.390015,2076.141602,1898.81311,1898.856323,1824.875366,1961.677856
Bahrain,866.3862305,917.6530151,1030.846558,1111.218262,1123.626953,1134.46167,1111.429932,1098.743286,1049.061279,1024.390503,1105.324829,1146.472778
Bangladesh,21.15062714,23.28593445,23.89686203,27.40725899,30.29579544,33.53680038,39.55920792,42.27734375,44.74491119,47.66782379,50.66413116,57.93856812
Barbados,1116.533081,1166.021973,1298.255859,1249.765747,1179.065186,1158.393066,1185.163086,1186.169678,1173.62854,1172.405396,1238.587158,1400.435791
Belarus,333,310,355,444,438,353,291,325,342,390,408,468
Belgium,4531.033691,4930.141113,4704.472656,4954.924316,5080.125,4442.401367,4542.794922,4782.646973,5176.983887,5049.577148,5104.025391,5680.231445
Belize,242.6184082,251.1910248,246.298172,261.2244873,296.2493897,285.8498535,292.991272,281.6338501,287.6029358,298.9605103,279.65802,310.1950073
Benin,30.38452339,32.9503212,34.21852112,34.83580017,33.67948914,28.41767883,29.34768677,29.22344017,34.44770432,29.37922096,30.64243507,35.12914658
Bermuda,,,,,,,,,,,,
Bhutan,71.98933411,77.32337952,83.64318848,85.9859848,86.81033325,96.52057648,97.18308258,103.3909073,101.6993332,115.3208084,133.7031403,120.4311752
Bolivia,99.99167633,119.2386169,134.630661,159.0892181,178.2088013,194.9240112,205.9224396,212.8791351,229.2254028,239.1754456,246.1977539,272.9592285
Bosnia and Herzegovina,406,457,444,474,492,430,449,470,528,544,591,692
