Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,14289975734,16630409946,18511801827,18890016968,18885765416,18572571196,16826000217,17751891427,17143221811,17731939791,18585819843,13621070039
Albania,10224245606,10906001759,10216293757,10878878367,11106516465,9442334426,9972441814,10717903288,12442708488,12449979124,12266743274,14797555219
Algeria,1.24896E+11,1.50592E+11,1.61152E+11,1.61726E+11,1.63368E+11,1.3283E+11,1.33029E+11,1.37393E+11,1.34855E+11,1.34134E+11,1.18468E+11,1.25759E+11
American Samoa,,,,,,,,,,,,
Andorra,,,,,,,,,,,,
Angola,43671933105,59665657182,72141626387,83346229610,94702895520,66790173500,35196052952,45362409567,47156217467,42988475834,36803520680,42541367192
Antigua and Barbuda,,,,,,,,,,,,
Argentina,3.53653E+11,4.42536E+11,4.54254E+11,4.60396E+11,4.38031E+11,5.07309E+11,4.73644E+11,5.54002E+11,4.39587E+11,3.70478E+11,3.27236E+11,4.11983E+11
Armenia,8398953354,9080773851,9592549255,10304677648,10623316108,9466501710,9300728052,10354023834,10947568530,11908830642,10711840240,11228790134
Aruba,2058374499,2109879864,2227468289,2275254390,2394184991,2511924645,2518955856,2578785125,2634165034,2842228351,2235240729,2662868130
Australia,8.90848E+11,1.08043E+12,1.21864E+12,1.24595E+12,1.14404E+12,1.06011E+12,9.45325E+11,1.03459E+12,1.10348E+12,1.06738E+12,1.0269E+12,1.1741E+12
Austria,3.26359E+11,3.57696E+11,3.37036E+11,3.53558E+11,3.62928E+11,3.0951E+11,3.24971E+11,3.38194E+11,3.68224E+11,3.61524E+11,3.52355E+11,3.87622E+11
Azerbaijan,36581360221,43890807363,49216878725,53432888890,57703409570,43038971195,29559398425,31790612689,33942558299,36650198911,35635384008,40200481168
"Bahamas, The",9120437520,9107001115,9734570944,9482666080,9881180750,10367560246,10378762092,11077632310,11074680237,11709113686,8673477613,9868277249
Bahrain,16892485994,15938495266,21256658462,22029775606,22816232557,23408567787,25226027766,27150394797,27404746746,28052942596,25399568221,
Bangladesh,1.14093E+11,1.26961E+11,1.32382E+11,1.4863E+11,1.68853E+11,1.90332E+11,2.54207E+11,2.7768E+11,3.05778E+11,3.60627E+11,3.8346E+11,4.30455E+11
Barbados,3923132259,3831982058,3916883667,3974501015,3988496071,3991714767,4074036307,4208542041,4288439254,4465152429,4049711984,4164575079
Belarus,47583347699,51663370435,54185455633,61288999699,64649151125,45644199339,38402872606,44370032756,48509547432,52403178269,48784605777,54066826263
Belgium,3.958E+11,4.22401E+11,4.10355E+11,4.32606E+11,4.4309E+11,3.81065E+11,3.91257E+11,4.13387E+11,4.46189E+11,4.40489E+11,4.24635E+11,4.83643E+11
Belize,1252206978,1325150529,1407558302,1537304047,1628314625,1767906856,1788574891,1788055756,1780520260,1862752442,1651532601,1929542246
Benin,8188774225,9279577440,9757972934,11126080999,11865082942,10210946434,10603315192,11291335985,12668487223,12759759263,13830132732,15737769728
Bermuda,,,,,,,,,,,,
Bhutan,1263354079,1447530586,1436458311,1442587731,1565354045,1625361112,1716612584,1968936483,1989545058,2228561718,2098180792,2283956483
Bolivia,16115928224,19102796513,20739116435,23523611179,25885822545,27893798724,29272435209,31357085229,33455764585,34324896354,31346995787,31712478522
